domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
sync-impossible,instance_1_5-ground,UPPAAL,134.49,908464,true,okay,
sync-impossible,instance_1_5-cert-conv,shell-script,,,true,out of memory,
sync-impossible,instance_1_5-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/sync-impossible/instance_1_5.cert
sync-impossible,instance_1_5-ground,TAMER-ctp,2.26,40804,true,okay,
sync-impossible,instance_1_5-ground,TAMER-ftp,,,false,137,|environment: line 1: 3962711 Killed                     ./tamer solve -a $mode -t constant-promoter -P $problem $domain
Command exited with non-zero status 137
%%%137%315.27%43295184
sync-impossible,instance_1_5,tfd,,,false,out of memory,|
sync-impossible,instance_1_5,OPTIC,,,false,137,|Number of literals: 14 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 71% of the ground temporal actions in this problem are compression-safe Initial heuristic = 9.000, admissible cost estimate 0.000 b (8.000 | 2.000)b (7.000 | 49.001)b (6.000 | 110.003)b (5.000 | 181.006)b (4.000 | 270.010)b (3.000 | 381.014) Resorting to best-first search Running WA* with W = 5.000, not restarting with goal states b (8.000 | 2.000)b (7.000 | 49.001)b (7.000 | 14.001)b (7.000 | 10.001)b (6.000 | 110.003)b (6.000 | 106.003)b (5.000 | 181.006)b (4.000 | 270.010)b (3.000 | 381.014)b (3.000 | 249.015)
Command exited with non-zero status 137
%%%137%791.84%38652696
sync-impossible,instance_1_5-ground,POPF,,,false,137,|Warnings encountered when parsing Domain/Problem File ----------------------------------------------------- The supplied domain/problem file appear to violate part of the PDDL language specification. Specifically: Errors: 0, warnings: 21 ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 24: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 25: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 48: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 53: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 54: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 75: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 80: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 81: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 91: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 96: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 97: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 107: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 112: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 113: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 123: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 128: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 129: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 139: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 144: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 145: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_5_domain.pddl: line: 155: Warning: Undeclared requirement :durative-actions The planner will continue, but you may wish to fix your files accordingly Number of literals: 14 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 71% of the ground temporal actions in this problem are compression-safe Initial heuristic = 9.000 b (8.000 | 2.000)b (7.000 | 49.001)b (6.000 | 63.002)b (5.000 | 73.003)b (4.000 | 91.004)b (3.000 | 113.005) Resorting to best-first search b (8.000 | 2.000)b (7.000 | 49.001)b (7.000 | 14.001)b (7.000 | 10.001)b (6.000 | 63.002)b (6.000 | 59.002)b (5.000 | 73.003)b (4.000 | 91.004)b (3.000 | 113.005)
Command exited with non-zero status 137
%%%137%1782.51%55021960
sync-impossible,instance_1_5,nextflap,0.17,4592,true,okay,
sync-impossible,instance_1_6,tck-aLUcovreach,,,false,out of time,|
sync-impossible,instance_1_6,tck-covreach,,,false,out of time,|
sync-impossible,instance_1_6-ground,nuXmv,3.68,105736,true,okay,
sync-impossible,instance_1_6-ground,UPPAAL,,,false,out of time,|
sync-impossible,instance_1_6-cert-conv,shell-script,,,true,out of memory,
sync-impossible,instance_1_6-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/sync-impossible/instance_1_6.cert
sync-impossible,instance_1_6-ground,TAMER-ctp,31.55,429344,true,okay,
sync-impossible,instance_1_6-ground,TAMER-ftp,,,false,137,|environment: line 1: 3963613 Killed                     ./tamer solve -a $mode -t constant-promoter -P $problem $domain
Command exited with non-zero status 137
%%%137%867.84%36781092
sync-impossible,instance_1_6,tfd,,,false,out of memory,|
sync-impossible,instance_1_6,OPTIC,,,false,out of time,|
sync-impossible,instance_1_6-ground,POPF,,,false,134,|Warnings encountered when parsing Domain/Problem File ----------------------------------------------------- The supplied domain/problem file appear to violate part of the PDDL language specification. Specifically: Errors: 0, warnings: 24 ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 26: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 27: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 52: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 57: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 58: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 81: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 86: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 87: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 97: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 102: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 103: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 113: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 118: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 119: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 129: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 134: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 135: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 145: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 150: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 151: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 161: Warning: Undeclared requirement :durative-actions ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 166: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 167: Warning: Undeclared requirement :duration-inequalities ./ground-pddl-problems/sync-impossible/instance_1_6_domain.pddl: line: 177: Warning: Undeclared requirement :durative-actions The planner will continue, but you may wish to fix your files accordingly Number of literals: 16 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 75% of the ground temporal actions in this problem are compression-safe Initial heuristic = 10.000 b (9.000 | 1.000)b (8.000 | 17.001)b (7.000 | 56.002)b (6.000 | 79.003)b (5.000 | 102.004)b (4.000 | 109.005)b (3.000 | 134.006) Resorting to best-first search b (9.000 | 1.000)b (8.000 | 17.001)b (8.000 | 7.001)b (7.000 | 56.002)b (7.000 | 40.002)b (7.000 | 24.002)b (6.000 | 79.003)b (6.000 | 63.003)b (5.000 | 102.004)b (5.000 | 86.004)b (4.000 | 109.005)b (3.000 | 134.006)b (3.000 | 134.006)terminate called after throwing an instance of 'std::bad_alloc' what(): std::bad_alloc
Command exited with non-zero status 134
%%%134%1548.93%55963132
sync-impossible,instance_1_6,nextflap,0.15,5376,true,okay,
sync-impossible,instance_1_7,tck-aLUcovreach,,,false,out of time,|
sync-impossible,instance_1_7,tck-covreach,,,false,out of time,|
sync-impossible,instance_1_7-ground,nuXmv,6.87,172700,true,okay,
sync-impossible,instance_1_7-ground,UPPAAL,,,false,out of time,|
sync-impossible,instance_1_7-cert-conv,shell-script,,,true,out of memory,
sync-impossible,instance_1_7-muntac-cert-check,muntac,,,,file missing,No certificate to check. Expected: ./muntax-dir/sync-impossible/instance_1_7.cert
sync-impossible,instance_1_7-ground,TAMER-ctp,,,false,out of time,|
sync-impossible,instance_1_7-ground,TAMER-ftp,,,false,137,|environment: line 1: 1099026 Killed                     ./tamer solve -a $mode -t constant-promoter -P $problem $domain
Command exited with non-zero status 137
%%%137%362.37%38539048
sync-impossible,instance_1_7,tfd,,,false,out of memory,|
sync-impossible,instance_1_7,OPTIC,,,false,137,|Number of literals: 18 Constructing lookup tables: Post filtering unreachable actions: [01;34mNo analytic limits found, not considering limit effects of goal-only operators[00m 77% of the ground temporal actions in this problem are compression-safe Initial heuristic = 11.000, admissible cost estimate 0.000 b (10.000 | 4.000)b (9.000 | 40.001)b (8.000 | 117.003)b (7.000 | 213.006)b (6.000 | 345.010)b (5.000 | 483.014)b (4.000 | 646.020)b (3.000 | 817.026) Resorting to best-first search Running WA* with W = 5.000, not restarting with goal states b (10.000 | 4.000)b (9.000 | 40.001)b (9.000 | 19.001)b (9.000 | 6.001)b (8.000 | 117.003)b (8.000 | 95.003)b (8.000 | 82.003)b (7.000 | 213.006)b (7.000 | 200.006)b (6.000 | 345.010)b (6.000 | 315.010)b (5.000 | 483.014)b (4.000 | 646.020)b (4.000 | 629.020)b (3.000 | 817.026)b (3.000 | 800.026)b (3.000 | 748.026)b (3.000 | 706.026)b (3.000 | 705.026)b (3.000 | 689.026)b (3.000 | 642.025)b (3.000 | 637.025)b (3.000 | 600.025)
Command exited with non-zero status 137
%%%137%582.34%30562324
