domain,instance,solver,time(s),memory(kB),identified as unsolvable,status,
sync-impossible,instance_1_5,OPTIC,,,false,out of memory,
sync-impossible,instance_1_6,tck-aLUcovreach,,,false,out of time,
sync-impossible,instance_1_6,tck-covreach,,,false,out of time,
sync-impossible,instance_1_6-ground,nuXmv,3.68,105736,true,okay,
sync-impossible,instance_1_6-ground,UPPAAL,,,false,out of time,
sync-impossible,instance_1_6-cert-conv,shell-script,,,true,out of memory,
sync-impossible,instance_1_6-muntac-cert-check,muntac,,,,file missing,
sync-impossible,instance_1_6-ground,TAMER-ctp,31.55,429344,true,okay,
sync-impossible,instance_1_6-ground,TAMER-ftp,,,false,out of memory,
sync-impossible,instance_1_6,OPTIC,,,false,out of time,
sync-impossible,instance_1_7,tck-aLUcovreach,,,false,out of time,
sync-impossible,instance_1_7,tck-covreach,,,false,out of time,
sync-impossible,instance_1_7-ground,nuXmv,6.87,172700,true,okay,
sync-impossible,instance_1_7-ground,UPPAAL,,,false,out of time,
sync-impossible,instance_1_7-cert-conv,shell-script,,,true,out of memory,
sync-impossible,instance_1_7-muntac-cert-check,muntac,,,,file missing,
sync-impossible,instance_1_7-ground,TAMER-ctp,,,false,out of time,
sync-impossible,instance_1_7-ground,TAMER-ftp,,,false,out of memory,
sync-impossible,instance_1_7,OPTIC,,,false,out of memory,
sync-impossible,instance_1_8,tck-aLUcovreach,,,false,out of time,
sync-impossible,instance_1_8,tck-covreach,,,false,out of time,
sync-impossible,instance_1_8-ground,nuXmv,,,false,out of time,
sync-impossible,instance_1_8-ground,UPPAAL,,,false,out of time,
sync-impossible,instance_1_8-cert-conv,shell-script,,,true,out of memory,
sync-impossible,instance_1_8-muntac-cert-check,muntac,,,,file missing,
sync-impossible,instance_1_8-ground,TAMER-ctp,,,false,out of time,
sync-impossible,instance_1_8-ground,TAMER-ftp,,,false,out of memory,
sync-impossible,instance_1_8,OPTIC,,,false,out of memory,
sync-impossible,instance_1_9,tck-aLUcovreach,,,false,out of time,
sync-impossible,instance_1_9,tck-covreach,,,false,out of time,
sync-impossible,instance_1_9-ground,nuXmv,438.73,3697912,true,okay,
sync-impossible,instance_1_9-ground,UPPAAL,,,false,out of time,
sync-impossible,instance_1_9-cert-conv,shell-script,,,true,out of memory,
sync-impossible,instance_1_9-muntac-cert-check,muntac,,,,file missing,
sync-impossible,instance_1_9-ground,TAMER-ctp,,,false,out of time,
sync-impossible,instance_1_9-ground,TAMER-ftp,,,false,out of memory,
sync-impossible,instance_1_9,OPTIC,,,false,out of memory,
