domain,instance,solver,time(s),memory(kB),identified as unsolvable,status
driverlog,instance_3_2_3_2,grounding,0.00,5120,true,okay,
driverlog,instance_3_2_3_2,verified-encoder,0.28,33836,true,okay,
driverlog,instance_3_2_3_3,grounding,0.00,5416,true,okay,
driverlog,instance_3_2_3_3,verified-encoder,0.46,50644,true,okay,
driverlog,instance_3_3_1_1,grounding,0.00,5412,true,okay,
driverlog,instance_3_3_1_1,verified-encoder,0.06,20148,true,okay,
driverlog,instance_3_3_1_2,grounding,0.00,5416,true,okay,
driverlog,instance_3_3_1_2,verified-encoder,0.15,32260,true,okay,
driverlog,instance_3_3_1_3,grounding,0.00,5384,true,okay,
driverlog,instance_3_3_1_3,verified-encoder,0.39,48668,true,okay,
driverlog,instance_3_3_2_1,grounding,0.00,5364,true,okay,
driverlog,instance_3_3_2_1,verified-encoder,0.16,32448,true,okay,
driverlog,instance_3_3_2_2,grounding,0.00,5388,true,okay,
driverlog,instance_3_3_2_2,verified-encoder,0.30,37708,true,okay,
driverlog,instance_3_3_2_3,grounding,0.00,5364,true,okay,
driverlog,instance_3_3_2_3,verified-encoder,0.60,61736,true,okay,
driverlog,instance_3_3_3_1,grounding,0.00,5388,true,okay,
driverlog,instance_3_3_3_1,verified-encoder,0.39,45868,true,okay,
driverlog,instance_3_3_3_2,grounding,0.00,5388,true,okay,
driverlog,instance_3_3_3_2,verified-encoder,0.61,66504,true,okay,
driverlog,instance_3_3_3_3,grounding,0.00,5580,true,okay,
driverlog,instance_3_3_3_3,verified-encoder,1.02,92380,true,okay,
